OKRSEK,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,batch
576549-1,187,149,149,149,3
550850-11,23,18,18,17,3
569950-1,280,155,155,154,3
550787-17,79,72,72,72,3
548693-1,124,94,94,94,3
597228-4,161,119,119,119,3
533955-1,121,68,68,68,3
540471-10,120,89,89,88,3
536237-1,77,52,52,52,3
567027-49,727,408,408,407,3
581917-15,130,84,84,84,3
565296-1,191,117,117,116,3
556041-3,138,92,92,92,3
546283-1,213,168,168,168,3
590754-8,49,40,40,40,3
599352-10,364,278,278,278,3
540218-2,106,77,77,77,3
542318-1,157,104,104,101,3
564931-1,122,89,89,89,3
578444-4,240,180,180,178,3
500143-5015,485,408,408,404,3
539279-3,454,301,301,301,3
599921-8,171,115,115,115,3
548448-1,68,48,48,48,3
555088-41,690,440,435,426,3
513288-1,149,110,110,110,3
569178-1,266,191,191,189,3
599247-8,186,148,148,146,3
575917-1,66,60,60,60,3
567892-1014,934,333,333,332,3
553573-1,153,77,77,77,3
544302-5,137,108,108,107,3
533505-1,243,184,184,182,3
545911-8030,232,139,139,138,3
546500-2,69,58,58,58,3
533939-1,82,59,59,59,3
571334-1,77,58,58,58,3
573990-6,170,128,128,127,3
553077-1,76,64,64,64,3
589403-2,92,63,63,63,3
585891-7,218,173,173,172,3
567256-23,702,473,471,471,3
566632-1,71,58,58,58,3
536911-1,62,49,49,49,3
564273-1,83,69,69,69,3
586307-11,424,177,177,175,3
573795-1,152,110,110,110,3
531413-1,91,70,70,70,3
544744-3,72,59,59,59,3
544639-3,73,39,39,39,3
556904-0,54,54,54,54,3
561380-30,341,215,215,215,3
555771-24,107,74,74,74,3
566624-8,115,80,80,80,3
583944-1,261,202,202,201,3
560715-7,454,285,285,285,3
583120-13,279,212,212,212,3
596159-1,44,38,38,38,3
532053-33,684,467,467,464,3
541796-1,124,90,90,89,3
540463-1,48,31,31,31,3
599590-1,162,116,116,115,3
566403-3,48,38,38,38,3
591521-1,76,65,65,65,3
545899-1,320,216,216,215,3
549231-4,68,41,41,41,3
536326-1,786,555,554,550,3
572756-1,133,94,94,93,3
551082-1001,723,549,549,545,3
585483-1,325,262,262,260,3
547859-1,90,63,63,63,3
500224-10093,553,374,374,373,3
596736-1,83,77,77,77,3
586846-53,126,100,100,100,3
579068-2,143,122,122,122,3
557951-4,66,53,53,53,3
573965-9,468,340,340,338,3
536784-1,108,83,83,81,3
546224-15010,746,471,470,469,3
569569-9,146,97,97,97,3
558231-1,181,130,130,130,3
564311-1,233,164,164,164,3
576212-2,105,83,83,82,3
572268-5,194,157,157,157,3
539911-35,81,65,65,65,3
580902-1,129,101,101,99,3
588296-26,117,92,92,91,3
598917-11,718,420,420,420,3
564761-1,211,163,163,162,3
578215-1,274,194,194,193,3
598828-1,105,79,79,79,3
549126-1,90,61,60,60,3
562882-13,251,191,191,191,3
502316-4008,428,330,330,323,3
544442-4,250,192,192,192,3
541281-7,570,418,418,418,3
566136-1,324,220,220,220,3
596248-1,190,153,153,152,3
574988-9,192,139,139,139,3
569810-3,786,554,554,552,3
568414-7,210,160,160,158,3
573361-1,82,65,65,64,3
537039-2,178,144,144,144,3
534081-1,223,156,156,156,3
587206-1,61,49,49,49,3
582603-3,141,100,100,100,3
574341-4,260,192,192,190,3
540315-3,104,89,89,89,3
558257-2,101,84,84,84,3
597350-3,230,167,167,166,3
551350-2,80,61,61,60,3
542555-1,100,69,69,69,3
574457-1,248,193,193,192,3
553506-1,88,59,59,59,3
594458-1,613,398,398,398,3
570851-1,417,301,301,301,3
570877-3,216,162,162,162,3
576115-1,187,147,147,146,3
530221-1,97,71,71,70,3
545881-27,210,170,170,168,3
593117-3,391,247,247,246,3
598241-1,59,32,32,32,3
549584-3,80,61,61,60,3
566616-9,107,80,80,80,3
999997-80,5,3,3,3,3
567256-22,782,502,501,499,3
554316-1,180,145,145,145,3
599468-4,150,94,94,94,3
575020-8001,206,145,145,144,3
575500-9,199,141,141,141,3
590461-1,156,121,121,121,3
589098-1,217,152,152,152,3
530743-1,177,138,138,138,3
551163-1,177,126,126,126,3
535117-3,235,191,190,189,3
534013-2,46,39,39,39,3
513555-1,170,130,130,129,3
596388-1,197,158,158,158,3
544825-1,275,224,224,224,3
563871-1,745,487,487,484,3
560928-2,91,62,62,62,3
533513-1,180,133,133,133,3
502081-2008,568,282,282,282,3
569569-6,173,139,139,139,3
563901-4,125,85,85,85,3
559521-2,840,516,516,514,3
567027-35,450,280,280,280,3
502146-4,238,159,159,159,3
577308-7,134,102,102,102,3
552461-3,111,89,89,89,3
582930-1,361,251,251,250,3
562807-1,160,134,134,134,3
571709-1,127,103,103,102,3
595985-1,112,84,84,84,3
584193-1,51,37,37,37,3
587982-1,217,160,160,160,3
533319-1,82,60,60,60,3
576964-3,653,283,283,275,3
