KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
539244,5,2100,17,Hostivice,2110,8777,5,rt
539252,3,2100,11,Hradištko,2110,2306,2,rt
539279,3,4100,15,Velká Hleďsebe,4101,2253,3,rt
539325,6,2100,21,Jesenice,2110,9777,6,rt
539333,6,2100,15,Jílové u Prahy,2110,4919,4,rt
539414,3,2100,15,Libčice nad Vltavou,2110,3456,5,rt
539601,8,1100,15,Praha 16,1100,8325,3,rt
539627,7,2100,21,Roztoky,2110,8611,7,rt
539635,3,1100,11,Praha-Řeporyje,1100,5381,5,rt
539643,2,2100,15,Řevnice,2110,3584,8,rt
539678,3,1100,11,Praha-Slivenec,1100,3735,3,rt
539694,58,1100,35,Praha 13,1100,60653,11,rt
539724,2,1100,15,Praha-Šeberov,1100,3116,3,rt
539732,3,2100,15,Štěchovice,2110,2116,3,rt
539759,2,2100,11,Třebotov,2110,1450,4,rt
539791,3,1100,11,Praha-Újezd,1100,3529,2,rt
539848,2,2100,15,Vrané nad Vltavou,2110,2623,2,rt
539864,10,1100,17,Praha-Zbraslav,1100,9760,4,rt
539899,5,1100,15,Praha-Zličín,1100,7448,3,rt
539911,39,2100,25,Příbram,2111,31651,12,rt
539961,5,7100,15,Libina,7105,3238,7,rt
540013,4,2100,15,Březnice,2111,3511,4,rt
540030,2,7100,15,Lipová-lázně,7101,2067,8,rt
540111,6,2100,21,Dobříš,2111,8707,7,rt
540196,5,7100,15,Loštice,7105,2947,6,rt
540218,3,2100,9,Dublovice,2111,1068,4,rt
540226,2,7100,9,Loučná nad Desnou,7105,1472,3,rt
540234,2,7100,15,Lukavice,7105,866,2,rt
540315,4,2100,11,Hvožďany,2111,778,2,rt
540331,4,7100,9,Malá Morava,7105,514,3,rt
540374,2,2100,7,Jablonná,2111,422,17,rt
540382,2,7100,15,Mikulovice,7101,2483,6,rt
540404,4,2100,15,Jince,2111,2297,5,rt
540471,13,7100,21,Mohelnice,7105,9103,8,rt
540480,2,7100,9,Moravičany,7105,1324,3,rt
540501,3,7100,15,Nový Malín,7105,3624,5,rt
540510,2,7100,11,Olšany,7105,1030,4,rt
540650,2,7100,9,Písařov,7105,711,2,rt
540757,4,2100,15,Milín,2111,2176,3,rt
540765,5,2100,15,Mníšek pod Brdy,2110,6060,6,rt
540773,2,7100,15,Postřelmov,7105,2928,5,rt
540846,3,2100,9,Nechvalice,2111,666,4,rt
540862,3,7100,15,Rapotín,7105,3259,7,rt
540871,3,7100,9,Rohle,7105,608,11,rt
540901,2,2100,15,Nový Knín,2111,2069,5,rt
540935,2,2100,15,Obecnice,2111,1242,2,rt
540978,5,7100,15,Ruda nad Moravou,7105,2514,4,rt
540986,2,7100,11,Sobotín,7105,1117,7,rt
541044,3,2100,15,Petrovice,2111,1320,4,rt
541079,5,7100,15,Staré Město,7105,1709,6,rt
541168,5,7100,15,Štíty,7105,1967,5,rt
541231,11,2100,15,Rožmitál pod Třemšínem,2111,4203,6,rt
541265,5,7100,15,Velké Losiny,7105,2510,6,rt
541281,13,2100,21,Sedlčany,2111,6799,4,rt
541290,3,3200,7,Horní Kozolupy,3207,251,2,rt
541354,15,7100,21,Zábřeh,7105,13281,7,rt
541427,2,2100,11,Tochovice,2111,626,2,rt
541508,2,2100,11,Věšín,2111,682,4,rt
541575,2,7100,15,Žulová,7101,1155,5,rt
541591,3,2100,9,Vysoký Chlumec,2111,807,3,rt
541630,25,7200,21,Vsetín,7203,25226,9,rt
541656,17,2100,21,Rakovník,2112,15142,8,rt
541699,3,2100,11,Čistá,2112,884,2,rt
541761,3,2100,7,Hřebečníky,2112,247,2,rt
541834,2,2100,15,Jesenice,2112,1635,3,rt
541991,2,2100,11,Lány,2103,2252,3,rt
542041,2,2100,15,Lužná,2112,1934,5,rt
542113,2,2100,7,Mšecké Žehrovice,2112,643,2,rt
542121,2,2100,11,Mutějovice,2112,810,3,rt
542164,4,2100,21,Nové Strašecí,2112,5573,7,rt
542351,2,2100,11,Řevničov,2112,1390,4,rt
542377,2,2100,13,Senomaty,2112,1265,2,rt
542415,5,2100,11,Slabce,2112,709,7,rt
542610,2,2100,7,Zbečno,2112,568,2,rt
